licenseNumber,businessName,licenseType,State,StateAbbr,address,city,zipCode,expirationDate,status,phone,email
020-10035920B10,Lovelife Farms LLC,recreational producer,Oregon,OR,,,,05/16/2025,active,,
020-10036398DA1,Entourage Cannabis,recreational producer,Oregon,OR,,,,01/19/2025,active,,
020-10040479F50,River Grown,recreational producer,Oregon,OR,,,,09/12/2024,active,,
020-10041958BFC,Red Barn Organics,recreational producer,Oregon,OR,,,,05/09/2025,active,,
020-10051778A02,BROKEN ARROW PHARM,recreational producer,Oregon,OR,,,,04/10/2025,active,,
020-10054775A23,"Lake Creek Land and Cattle, LLC",recreational producer,Oregon,OR,,,,01/25/2025,active,,
020-10055487CC1,Eve Gardens,recreational producer,Oregon,OR,,,,12/27/2024,active,,
020-10056831C95,Kaprikorn,recreational producer,Oregon,OR,,,,06/16/2025,active,,
020-10057851A6C,Elevate,recreational producer,Oregon,OR,,,,02/11/2025,active,,
020-10058341A3A,Growing Green Farms,recreational producer,Oregon,OR,,,,06/26/2025,active,,
020-10059414AE1,Bishop Orchards,recreational producer,Oregon,OR,,,,07/06/2025,active,,
020-10059566E4E,Gold Bar Farms,recreational producer,Oregon,OR,,,,08/01/2025,active,,
020-10060472B02,Lost Duck,recreational producer,Oregon,OR,,,,06/22/2025,active,,
020-10061378DAE,De Terra,recreational producer,Oregon,OR,,,,08/15/2025,active,,
020-10061844BD2,Herbal Ally Inc,recreational producer,Oregon,OR,,,,08/25/2025,active,,
020-10062161C2A,Uplifted,recreational producer,Oregon,OR,,,,10/04/2024,active,,
020-10063940AA8,Grown Rogue,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-10063966B66,Ganesh Farms,recreational producer,Oregon,OR,,,,02/10/2025,active,,
020-10067963FB5,Family Trees,recreational producer,Oregon,OR,,,,10/30/2024,active,,
020-10069071F4A,Chehalem Ridge Cannabis,recreational producer,Oregon,OR,,,,10/04/2024,active,,
020-10069507F9A,SUN FIRE NATURAL,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-10069541A17,SUN FIRE NATURAL,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-10069798E0F,Revel Farms,recreational producer,Oregon,OR,,,,06/28/2025,active,,
020-10070281BF0,Superb,recreational producer,Oregon,OR,,,,03/04/2025,active,,
020-10070379A49,Weirdhouse Farms,recreational producer,Oregon,OR,,,,05/20/2025,active,,
020-10071751F4B,Zelona LLC,recreational producer,Oregon,OR,,,,05/29/2025,active,,
020-10071771A8C,Siren,recreational producer,Oregon,OR,,,,04/23/2025,active,,
020-10072242CAA,Forward Horticulture LLC,recreational producer,Oregon,OR,,,,08/08/2025,active,,
020-10073299CF2,FA Ranch,recreational producer,Oregon,OR,,,,06/17/2025,active,,
020-10076460B18,Top Shelf Gardens,recreational producer,Oregon,OR,,,,06/10/2025,active,,
020-10077501BFC,Siering Farms LLC,recreational producer,Oregon,OR,,,,08/07/2025,active,,
020-10079224F87,Astra Cannabis,recreational producer,Oregon,OR,,,,02/19/2025,active,,
020-10079870BD6,Antioch Gold,recreational producer,Oregon,OR,,,,08/20/2025,active,,
020-10081355D28,Trellis Farms,recreational producer,Oregon,OR,,,,12/02/2024,active,,
020-10081597ABE,Ridgeline Reserve,recreational producer,Oregon,OR,,,,08/28/2025,active,,
020-10081627BA2,"Old Growth Gardens, LLC",recreational producer,Oregon,OR,,,,12/26/2024,active,,
020-10082046CA2,Bolt Mountain Cannabis - Green Passion LLC,recreational producer,Oregon,OR,,,,03/11/2025,active,,
020-10083322EE4,Eagle Valley Farm LLC,recreational producer,Oregon,OR,,,,04/26/2025,active,,
020-10083676BA3,AED LLC,recreational producer,Oregon,OR,,,,08/21/2025,active,,
020-10083749EE1,Jessi James Gardens,recreational producer,Oregon,OR,,,,12/18/2024,active,,
020-10084116ED3,Apis Hyve LLC,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-10085644AA4,Garden Of The Gods,recreational producer,Oregon,OR,,,,05/30/2025,active,,
020-10085652BB4,Local Variety,recreational producer,Oregon,OR,,,,03/10/2025,active,,
020-10085847C39,Old School Gardens,recreational producer,Oregon,OR,,,,01/07/2025,active,,
020-10087029BC5,"Hydro League Farms, LLC",recreational producer,Oregon,OR,,,,07/02/2025,active,,
020-10089163C5B,Farm Solutions DGP,recreational producer,Oregon,OR,,,,02/15/2025,active,,
020-10089238F2F,GRIZZLY AGRICULTURE,recreational producer,Oregon,OR,,,,06/07/2025,active,,
020-10090437A35,TieDie Farms,recreational producer,Oregon,OR,,,,07/30/2025,active,,
020-10090868CEB,Happy Valley Cannabis,recreational producer,Oregon,OR,,,,08/05/2025,active,,
020-10091450C38,Platinum Brotherz,recreational producer,Oregon,OR,,,,10/22/2024,active,,
020-10094753EC2,High Point,recreational producer,Oregon,OR,,,,05/15/2025,active,,
020-10094844EA2,Utokia,recreational producer,Oregon,OR,,,,05/24/2025,active,,
020-10096748E53,West Coast Genetics,recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-10097049CF2,Cuellar Farms,recreational producer,Oregon,OR,,,,12/03/2024,active,,
020-10097828F4F,Eugreen Farms,recreational producer,Oregon,OR,,,,06/28/2025,active,,
020-10099807D7C,Dutch House,recreational producer,Oregon,OR,,,,10/10/2024,active,,
020-10099916FE4,Gud Gardens,recreational producer,Oregon,OR,,,,02/04/2025,active,,
020-10101186F44,Savage Skunk Farms,recreational producer,Oregon,OR,,,,04/28/2025,active,,
020-10101873A00,Fire District,recreational producer,Oregon,OR,,,,01/10/2025,active,,
020-10103008ED4,Happy Trees,recreational producer,Oregon,OR,,,,12/20/2024,active,,
020-10103119F97,Kado,recreational producer,Oregon,OR,,,,06/19/2025,active,,
020-10104590FEE,Bad Rabbit Farms LLC,recreational producer,Oregon,OR,,,,01/09/2025,active,,
020-10104632CE8,"Vertical Extent, Inc.",recreational producer,Oregon,OR,,,,05/02/2025,active,,
020-10105615C3F,Golden Road Farms,recreational producer,Oregon,OR,,,,01/11/2025,active,,
020-10106102D4F,Green American Farm,recreational producer,Oregon,OR,,,,08/28/2025,active,,
020-10106867CBC,Million Elephants,recreational producer,Oregon,OR,,,,08/29/2025,active,,
020-10108032C95,Stay Hai,recreational producer,Oregon,OR,,,,03/31/2025,active,,
020-10108389A65,Monticello Farms Company,recreational producer,Oregon,OR,,,,04/04/2025,active,,
020-10109581B1B,La Bomba Farmz,recreational producer,Oregon,OR,,,,02/15/2025,active,,
020-10110064D70,High Quality Flora,recreational producer,Oregon,OR,,,,03/09/2025,active,,
020-10110720A5C,The Crop Shop Cannabis,recreational producer,Oregon,OR,,,,11/16/2024,active,,
020-10111923FF3,Moto Perpetuo Farm,recreational producer,Oregon,OR,,,,09/05/2025,active,,
020-10113217F0B,Herban Renewal,recreational producer,Oregon,OR,,,,01/12/2025,active,,
020-10114519F7C,Blazing Trails,recreational producer,Oregon,OR,,,,02/21/2025,active,,
020-10115646B44,Oregonic Farms,recreational producer,Oregon,OR,,,,04/01/2025,active,,
020-10116230A50,BH Farm,recreational producer,Oregon,OR,,,,08/16/2025,active,,
020-10116312A66,Calvin's Greens,recreational producer,Oregon,OR,,,,03/15/2025,active,,
020-10116529E96,The Grass is Greener Farm,recreational producer,Oregon,OR,,,,11/03/2024,active,,
020-10116742A00,"ADG Farms, LLC",recreational producer,Oregon,OR,,,,02/23/2025,active,,
020-10118347E2B,Rogue Farmer,recreational producer,Oregon,OR,,,,07/21/2025,active,,
020-10118409B73,OBSESHN,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-10119019F1B,Portland Cultivation LLC,recreational producer,Oregon,OR,,,,08/22/2025,active,,
020-10119024F2F,Trichome Jungle,recreational producer,Oregon,OR,,,,12/27/2024,active,,
020-10119491DF9,"Cannabis Valley, LLC",recreational producer,Oregon,OR,,,,04/19/2025,active,,
020-10121239D6D,Baho Buds,recreational producer,Oregon,OR,,,,12/10/2024,active,,
020-10121312D0D,"Loud N' Tasty, LLC",recreational producer,Oregon,OR,,,,12/06/2024,active,,
020-10121638F90,Clackamas Farms LLC,recreational producer,Oregon,OR,,,,03/02/2025,active,,
020-10122633AAA,Green Thumb Farm,recreational producer,Oregon,OR,,,,05/31/2025,active,,
020-10123161C24,Str8 Fyre,recreational producer,Oregon,OR,,,,06/11/2025,active,,
020-10123367F5C,Oregon Cultivation LLC,recreational producer,Oregon,OR,,,,07/27/2025,active,,
020-10124115F10,Eat More Rice LLC,recreational producer,Oregon,OR,,,,02/07/2025,active,,
020-10124904DCC,Indrovation,recreational producer,Oregon,OR,,,,06/03/2025,active,,
020-10125280E67,Sowing Seeds,recreational producer,Oregon,OR,,,,07/05/2025,active,,
020-10126988E59,Peak Life Cannabis,recreational producer,Oregon,OR,,,,01/02/2025,active,,
020-10128649D3A,Viola Ridge,recreational producer,Oregon,OR,,,,05/06/2025,active,,
020-10129350DBA,Beach Bums Cannabis Company,recreational producer,Oregon,OR,,,,05/05/2024,active,,
020-10129396BE9,Paul Farms,recreational producer,Oregon,OR,,,,11/28/2024,active,,
020-10129738E80,Cajun Land and Investments,recreational producer,Oregon,OR,,,,08/12/2025,active,,
020-10130146E37,"Canna-Creek Farm, LLC",recreational producer,Oregon,OR,,,,12/19/2024,active,,
020-10130298E23,The House of Dank LLC,recreational producer,Oregon,OR,,,,12/14/2024,active,,
020-10133891F64,Halo Labs; Hush; Hushcanna,recreational producer,Oregon,OR,,,,01/29/2025,active,,
020-10138050BE8,Atrium Farms,recreational producer,Oregon,OR,,,,04/01/2025,active,,
020-10138197EC2,Juicy Jackson,recreational producer,Oregon,OR,,,,11/07/2024,active,,
020-10140652AA4,La Mota,recreational producer,Oregon,OR,,,,07/22/2025,active,,
020-10141129AC2,Dankside Ranch,recreational producer,Oregon,OR,,,,07/19/2025,active,,
020-10141533D6A,The Lusted Road,recreational producer,Oregon,OR,,,,10/18/2024,active,,
020-10144987F62,Deez Nugz,recreational producer,Oregon,OR,,,,10/06/2024,active,,
020-10145244CCD,"BG Family Farms, LLC",recreational producer,Oregon,OR,,,,06/14/2025,active,,
020-10149624D8F,Organic Theory,recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-10150891F3B,Buddies Cannabis,recreational producer,Oregon,OR,,,,10/27/2024,active,,
020-10151057D40,EK Industries LLC,recreational producer,Oregon,OR,,,,05/05/2025,active,,
020-10152276B17,DATFYE,recreational producer,Oregon,OR,,,,11/01/2024,active,,
020-10153229B75,Quantum Oregon,recreational producer,Oregon,OR,,,,08/17/2025,active,,
020-10155102F1E,Sacred Herb Farms of Oregon,recreational producer,Oregon,OR,,,,08/22/2025,active,,
020-10157486E89,Mars Farms,recreational producer,Oregon,OR,,,,11/19/2024,active,,
020-10159720F5C,Urban Canna,recreational producer,Oregon,OR,,,,11/11/2024,active,,
020-10160028A60,Gorilla Gods Garden LLC,recreational producer,Oregon,OR,,,,01/18/2025,active,,
020-10160241AE2,Flowers City,recreational producer,Oregon,OR,,,,03/15/2025,active,,
020-10161115A8A,Oregon Genetics,recreational producer,Oregon,OR,,,,10/18/2024,active,,
020-10161366DFD,Green Gear Solutions LLC,recreational producer,Oregon,OR,,,,12/17/2024,active,,
020-10162519E14,Weedology Farms,recreational producer,Oregon,OR,,,,04/18/2025,active,,
020-10162829DCA,"Nectar Markets, LLC",recreational producer,Oregon,OR,,,,04/15/2025,active,,
020-10162858F9E,"Nectar Markets, LLC",recreational producer,Oregon,OR,,,,04/12/2025,active,,
020-10163563EEA,"Laughing Buffalo Farm, LLC",recreational producer,Oregon,OR,,,,03/18/2025,active,,
020-10165317E77,DGC PNW,recreational producer,Oregon,OR,,,,04/06/2025,active,,
020-10165525BE2,Cascade Chronic,recreational producer,Oregon,OR,,,,07/01/2025,active,,
020-10167359E3F,Southern Oregon Cannabis,recreational producer,Oregon,OR,,,,03/25/2025,active,,
020-10168088C6E,Terra Fern Farms,recreational producer,Oregon,OR,,,,06/15/2025,active,,
020-10169544A3B,Focus North,recreational producer,Oregon,OR,,,,05/13/2025,active,,
020-10170386AF2,Selma Project Two,recreational producer,Oregon,OR,,,,06/07/2025,active,,
020-10170680E09,Rogue Family Gardens LLC,recreational producer,Oregon,OR,,,,07/08/2024,active,,
020-10171361D1B,Green Dragon Gardens,recreational producer,Oregon,OR,,,,07/27/2025,active,,
020-10172092D92,SOCO Farms LLC,recreational producer,Oregon,OR,,,,10/25/2024,active,,
020-10173444DBD,Self Made Cannabis Company,recreational producer,Oregon,OR,,,,08/05/2025,active,,
020-10174868CEE,Kore Cannabis,recreational producer,Oregon,OR,,,,11/28/2024,active,,
020-10175182DED,"Psychonaut Oregon, LLC",recreational producer,Oregon,OR,,,,12/01/2024,active,,
020-10179648B9E,The Action Holdings LLC,recreational producer,Oregon,OR,,,,02/21/2025,active,,
020-10180073EE4,Your Highness Cultivar,recreational producer,Oregon,OR,,,,12/22/2024,active,,
020-10182244B38,Next Level Gardens,recreational producer,Oregon,OR,,,,12/19/2024,active,,
020-10184707DA2,Remedy River,recreational producer,Oregon,OR,,,,03/21/2025,active,,
020-10186453B1B,Silver Leaf Cannabis Company,recreational producer,Oregon,OR,,,,02/21/2025,active,,
020-10186787E0E,Woodburn Agriscience,recreational producer,Oregon,OR,,,,03/06/2025,active,,
020-10189446F42,Big Z,recreational producer,Oregon,OR,,,,05/16/2025,active,,
020-10190943E5D,Nectar,recreational producer,Oregon,OR,,,,04/07/2025,active,,
020-10193217E9C,Kaprikorn,recreational producer,Oregon,OR,,,,05/08/2025,active,,
020-10198253A70,CPC Gardens,recreational producer,Oregon,OR,,,,08/02/2025,active,,
020-10200600F03,Avitas,recreational producer,Oregon,OR,,,,08/14/2025,active,,
020-10207746BA3,Pin Farms,recreational producer,Oregon,OR,,,,06/14/2025,active,,
020-10212520A82,Northern Oak Farms,recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-10212701F3D,Smoky Flower Farm,recreational producer,Oregon,OR,,,,08/01/2025,active,,
020-10216241DAC,McKinley Farms LLC,recreational producer,Oregon,OR,,,,03/31/2025,active,,
020-10216832CE3,New Breed Seed,recreational producer,Oregon,OR,,,,08/07/2025,active,,
020-10219481C44,Mike's Green Farm,recreational producer,Oregon,OR,,,,09/21/2025,active,,
020-10219913DD3,Grizzly Agriculture,recreational producer,Oregon,OR,,,,09/27/2025,active,,
020-10220260AF1,Picnic Oregon,recreational producer,Oregon,OR,,,,11/28/2024,active,,
020-10222815D9B,Lofty,recreational producer,Oregon,OR,,,,10/10/2025,active,,
020-10223540CDA,Kingston Cannabis Company,recreational producer,Oregon,OR,,,,12/21/2024,active,,
020-10224117F9B,Top Notch Greens LLC,recreational producer,Oregon,OR,,,,01/23/2025,active,,
020-10227157C36,Big Jar Farms LLC,recreational producer,Oregon,OR,,,,04/02/2025,active,,
020-10227823F64,CHH Farm,recreational producer,Oregon,OR,,,,03/02/2025,active,,
020-10227886FB1,Coffer,recreational producer,Oregon,OR,,,,01/02/2025,active,,
020-10229234E4A,Hydrogro,recreational producer,Oregon,OR,,,,01/19/2025,active,,
020-10230774DBA,Ganja Goddess I,recreational producer,Oregon,OR,,,,04/17/2025,active,,
020-10230876A5C,Z & L Partners,recreational producer,Oregon,OR,,,,02/09/2025,active,,
020-10231672EC3,Enjoy Fun Life,recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-10232561A59,Jeff Extractz,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-10232663FA8,DHT Holdings LLC,recreational producer,Oregon,OR,,,,04/16/2025,active,,
020-10233430CD3,Sugarpine Farms,recreational producer,Oregon,OR,,,,04/17/2025,active,,
020-10233930CE0,Piff Stixs,recreational producer,Oregon,OR,,,,03/22/2025,active,,
020-10234154D94,Valley Cannabis CO,recreational producer,Oregon,OR,,,,06/06/2025,active,,
020-10236020B84,Joint Venture Cannabis,recreational producer,Oregon,OR,,,,04/27/2025,active,,
020-10236345F5F,JoCo Green,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-10238233D8C,WM Ranch,recreational producer,Oregon,OR,,,,05/31/2025,active,,
020-10238361B3C,Alternative Systems LLC,recreational producer,Oregon,OR,,,,06/14/2025,active,,
020-10238692FB1,Virgin Leaf,recreational producer,Oregon,OR,,,,06/28/2025,active,,
020-10238779A1B,Indica Farm,recreational producer,Oregon,OR,,,,05/22/2025,active,,
020-10238877E58,Merkaba Farm,recreational producer,Oregon,OR,,,,07/13/2025,active,,
020-10238912A7F,Rogue Farmer,recreational producer,Oregon,OR,,,,06/07/2025,active,,
020-10239068D99,JDSLIGHT,recreational producer,Oregon,OR,,,,01/28/2025,active,,
020-10239372CD1,PURPLE PARADISE LLC,recreational producer,Oregon,OR,,,,06/04/2025,active,,
020-10239915A31,Rocky Mtn Farms,recreational producer,Oregon,OR,,,,06/25/2025,active,,
020-10240177A4B,Big Smokes,recreational producer,Oregon,OR,,,,06/13/2025,active,,
020-10240837D3D,Canna Dank Farms,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-10240873DA2,DooDool Tallah,recreational producer,Oregon,OR,,,,07/16/2025,active,,
020-10241255BD9,Major League Flower,recreational producer,Oregon,OR,,,,08/14/2025,active,,
020-10241465FFE,Fengyuan,recreational producer,Oregon,OR,,,,09/26/2024,active,,
020-10241801DCA,Black Label Farms,recreational producer,Oregon,OR,,,,07/27/2025,active,,
020-10241963AB5,Pork Chop Ranch,recreational producer,Oregon,OR,,,,07/27/2025,active,,
020-10243527F0D,Exotics Only,recreational producer,Oregon,OR,,,,11/14/2024,active,,
020-10243703DD9,Ganja Goddess,recreational producer,Oregon,OR,,,,07/04/2025,active,,
020-10244560C01,Happy Flower LLC,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-10244940D86,NWKindLLC,recreational producer,Oregon,OR,,,,08/17/2025,active,,
020-10245659DB3,BADMOON,recreational producer,Oregon,OR,,,,10/23/2024,active,,
020-10246172C5D,Urban Pharms,recreational producer,Oregon,OR,,,,08/08/2025,active,,
020-10246853FD0,Rebel Ranch,recreational producer,Oregon,OR,,,,09/28/2024,active,,
020-10247750C95,Sheridan Farm,recreational producer,Oregon,OR,,,,11/14/2024,active,,
020-10249315E65,Eco Shadowbox,recreational producer,Oregon,OR,,,,10/12/2024,active,,
020-10249956D14,Newberg Magnificent LLC,recreational producer,Oregon,OR,,,,10/05/2024,active,,
020-10250532CB2,Hotbox,recreational producer,Oregon,OR,,,,01/29/2025,active,,
020-10251349D70,Hui Cleaning,recreational producer,Oregon,OR,,,,11/02/2024,active,,
020-10252654B42,Iris Farm LLC,recreational producer,Oregon,OR,,,,11/16/2024,active,,
020-10253212E89,Dulce Farms LLC,recreational producer,Oregon,OR,,,,01/22/2025,active,,
020-10253785AF6,Flower Prince Cannabis LLC,recreational producer,Oregon,OR,,,,01/08/2025,active,,
020-10254537BFF,"No Tomato, LLC",recreational producer,Oregon,OR,,,,12/04/2024,active,,
020-10255382AEE,T-Rex Corral LLC,recreational producer,Oregon,OR,,,,01/10/2025,active,,
020-10255501C08,Golden Stallion,recreational producer,Oregon,OR,,,,01/21/2025,active,,
020-10257963E3D,Golden Eagle Ranch LLC,recreational producer,Oregon,OR,,,,02/21/2025,active,,
020-10258317E54,Highly Indigenous,recreational producer,Oregon,OR,,,,03/13/2025,active,,
020-10260401A94,Green Briar Gardens LLC,recreational producer,Oregon,OR,,,,03/05/2025,active,,
020-100003225DA,TKO Reserve,recreational producer,Oregon,OR,,,,06/01/2025,active,,
020-100010499D8,sofresh farms,recreational producer,Oregon,OR,,,,07/31/2025,active,,
020-100011981A9,Rebel Spirit,recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-100018239CD,One Family Farms,recreational producer,Oregon,OR,,,,08/28/2025,active,,
020-100018496E7,Cannassentials,recreational producer,Oregon,OR,,,,11/02/2024,active,,
020-100019879F7,Ananda Farms,recreational producer,Oregon,OR,,,,06/01/2025,active,,
020-100043439E1,Frontier Farms - Dee,recreational producer,Oregon,OR,,,,06/27/2025,active,,
020-100047272F2,Madrone Alpha,recreational producer,Oregon,OR,,,,06/14/2025,active,,
020-100056600F3,GREENWORKS FARMS,recreational producer,Oregon,OR,,,,09/08/2025,active,,
020-100080606F3,Foggy Mountain Farms,recreational producer,Oregon,OR,,,,04/01/2025,active,,
020-100089348CE,Archive Nursery,recreational producer,Oregon,OR,,,,11/02/2024,active,,
020-100105904E2,"Atlas Collective, LLC",recreational producer,Oregon,OR,,,,07/18/2025,active,,
020-100135548E1,La Mota,recreational producer,Oregon,OR,,,,07/12/2025,active,,
020-100140402E1,Oregon Blissful Botanicals,recreational producer,Oregon,OR,,,,06/28/2025,active,,
020-100153913C0,Epoch Farms,recreational producer,Oregon,OR,,,,10/17/2024,active,,
020-100154108CB,Epoch Farms,recreational producer,Oregon,OR,,,,10/17/2024,active,,
020-100158612C3,Deep Creek Gardens LLC,recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-100164183CE,45TH PARALLEL FARMS,recreational producer,Oregon,OR,,,,06/13/2025,active,,
020-100182995B1,OG Gardens,recreational producer,Oregon,OR,,,,03/02/2025,active,,
020-100195624C8,"RAD Nursery Products, LLC",recreational producer,Oregon,OR,,,,10/24/2024,active,,
020-100199419EB,Mother Magnolia Medicinals and M3,recreational producer,Oregon,OR,,,,09/20/2025,active,,
020-100206529CB,Kleen Karma Gardens Inc.,recreational producer,Oregon,OR,,,,05/08/2025,active,,
020-100207137EB,"Skunk Valley Farm, LLC",recreational producer,Oregon,OR,,,,08/25/2025,active,,
020-100233650E6,Casa Verde Gardens,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-100242539E4,Everbloom LLC,recreational producer,Oregon,OR,,,,06/15/2025,active,,
020-100249011F0,NUGZ,recreational producer,Oregon,OR,,,,05/08/2025,active,,
020-100255921B4,Indoor Orchards,recreational producer,Oregon,OR,,,,05/23/2025,active,,
020-100259122AC,Wykanush Ventures LLC,recreational producer,Oregon,OR,,,,07/23/2025,active,,
020-100260706A6,Rogue Farmer,recreational producer,Oregon,OR,,,,07/28/2025,active,,
020-100269691F2,Bigsby Farms,recreational producer,Oregon,OR,,,,09/01/2025,active,,
020-100273799E9,Bonsai,recreational producer,Oregon,OR,,,,05/11/2025,active,,
020-100277503CF,Leap Farms,recreational producer,Oregon,OR,,,,09/28/2024,active,,
020-100278076DC,Elevated Agriculture,recreational producer,Oregon,OR,,,,05/02/2025,active,,
020-100292516BA,High Ridge Farms,recreational producer,Oregon,OR,,,,12/04/2024,active,,
020-100298424D9,Mentari Farms,recreational producer,Oregon,OR,,,,07/24/2025,active,,
020-100312539E0,Pea Penny Farms,recreational producer,Oregon,OR,,,,01/28/2025,active,,
020-100313431BE,LOWD,recreational producer,Oregon,OR,,,,06/27/2025,active,,
020-100370296E0,Mill Creek Growers,recreational producer,Oregon,OR,,,,05/08/2025,active,,
020-100410463C4,Gross Tonnage,recreational producer,Oregon,OR,,,,05/18/2025,active,,
020-100419459F8,State 3,recreational producer,Oregon,OR,,,,12/12/2024,active,,
020-100430972E9,SLO MO,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-100446164FE,Inner Rhythm,recreational producer,Oregon,OR,,,,08/17/2025,active,,
020-100458842D4,Nightwood Horticulture Limited,recreational producer,Oregon,OR,,,,04/09/2025,active,,
020-100462727D5,Paragon Farms,recreational producer,Oregon,OR,,,,06/19/2025,active,,
020-100473196E7,KGB Farms,recreational producer,Oregon,OR,,,,06/25/2025,active,,
020-100506243FE,Greenery Property Management,recreational producer,Oregon,OR,,,,06/05/2025,active,,
020-100519089F6,"Applegate River Farm,LLC",recreational producer,Oregon,OR,,,,04/10/2025,active,,
020-100584842A8,Greenphoria,recreational producer,Oregon,OR,,,,07/02/2025,active,,
020-100600698D6,Opus Organics,recreational producer,Oregon,OR,,,,06/22/2025,active,,
020-100624003D3,Kamamalu,recreational producer,Oregon,OR,,,,09/02/2025,active,,
020-100676462DF,Smoky Flower Farm,recreational producer,Oregon,OR,,,,09/10/2025,active,,
020-100677656B7,Rebel Spirit,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-100679845FA,Nature's Gold,recreational producer,Oregon,OR,,,,09/13/2025,active,,
020-100680545A4,AAA PRODUCTIONS LLC,recreational producer,Oregon,OR,,,,07/26/2025,active,,
020-100682137B6,Hesperides Garden,recreational producer,Oregon,OR,,,,03/18/2025,active,,
020-100706617D5,Treestar Farms,recreational producer,Oregon,OR,,,,02/17/2025,active,,
020-100710006B7,SYNERGY CONCEPTS LLC,recreational producer,Oregon,OR,,,,01/16/2025,active,,
020-100714690AD,Pacific Orchards,recreational producer,Oregon,OR,,,,07/05/2025,active,,
020-100726785B3,Shango,recreational producer,Oregon,OR,,,,07/12/2025,active,,
020-100747522C2,Modus,recreational producer,Oregon,OR,,,,06/06/2025,active,,
020-100781847D3,Gaia's Ganja Garden,recreational producer,Oregon,OR,,,,08/16/2025,active,,
020-100791131CE,Green Farms LLC,recreational producer,Oregon,OR,,,,01/30/2025,active,,
020-100795025E9,Royal Cannabis / Royal Underwood,recreational producer,Oregon,OR,,,,06/26/2025,active,,
020-100810722C2,Up Stream,recreational producer,Oregon,OR,,,,10/18/2024,active,,
020-100812139C8,Entheo Gardens,recreational producer,Oregon,OR,,,,06/30/2025,active,,
020-100816760B7,Endless Green Summer Farms LLC,recreational producer,Oregon,OR,,,,05/30/2025,active,,
020-100841282AE,Budding Acres,recreational producer,Oregon,OR,,,,08/26/2025,active,,
020-100861828BC,45th Parallel Farms,recreational producer,Oregon,OR,,,,03/18/2025,active,,
020-100866673D0,Arcadia,recreational producer,Oregon,OR,,,,03/07/2025,active,,
020-100886707AF,Mirson Farms LLC,recreational producer,Oregon,OR,,,,05/17/2025,active,,
020-100893187E2,Diamond Canna,recreational producer,Oregon,OR,,,,05/17/2025,active,,
020-100928906CA,Fenario Farms,recreational producer,Oregon,OR,,,,08/15/2025,active,,
020-100934847F6,AGFO LLC,recreational producer,Oregon,OR,,,,06/20/2025,active,,
020-100941928C8,Good Dog Farm LLC,recreational producer,Oregon,OR,,,,09/12/2025,active,,
020-100956355CD,the green room northwest llc,recreational producer,Oregon,OR,,,,10/18/2024,active,,
020-100959257D9,"Elysian Winds, CS, LLC",recreational producer,Oregon,OR,,,,04/18/2025,active,,
020-100975770CA,slims top shelf,recreational producer,Oregon,OR,,,,04/02/2025,active,,
020-100978092EF,Applegate Botanicals,recreational producer,Oregon,OR,,,,03/14/2025,active,,
020-100981218E2,Backwood Organics,recreational producer,Oregon,OR,,,,10/15/2024,active,,
020-100984011AA,KPH Farms LLC,recreational producer,Oregon,OR,,,,12/21/2024,active,,
020-101010589E8,Cloud House,recreational producer,Oregon,OR,,,,06/25/2025,active,,
020-101012923A0,Lower Left Organics,recreational producer,Oregon,OR,,,,06/18/2025,active,,
020-101023390C6,Sky High Farms,recreational producer,Oregon,OR,,,,11/15/2024,active,,
020-101029336F5,Anita's Gardens,recreational producer,Oregon,OR,,,,01/12/2025,active,,
020-101042338F8,West and East Consulting Inc.,recreational producer,Oregon,OR,,,,03/30/2025,active,,
020-101045587EA,Douglas Brothers Farming Co.,recreational producer,Oregon,OR,,,,07/22/2025,active,,
020-101047053EA,Million Elephants,recreational producer,Oregon,OR,,,,06/17/2025,active,,
020-101051999A8,High Hopes Enterprises LLC,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-101060280D7,Green Clover Farms,recreational producer,Oregon,OR,,,,09/27/2024,active,,
020-101077248A8,"Gryffwood Farms, LLC",recreational producer,Oregon,OR,,,,06/09/2025,active,,
020-101113767E4,"Royalty Green, LLC",recreational producer,Oregon,OR,,,,12/28/2024,active,,
020-101122971F2,ZIVA FARMS LLC,recreational producer,Oregon,OR,,,,03/14/2025,active,,
020-101149716D6,Vaksana Gardens,recreational producer,Oregon,OR,,,,02/17/2025,active,,
